Oligo name,Depth,A_content,T_content,G_content,C_content,GC_content,AG_content
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_1,4468,0.3142857142857143,0.2761904761904762,0.23809523809523808,0.17142857142857143,0.4095238095238095,0.5523809523809524
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_2,5425,0.21904761904761905,0.23809523809523808,0.29523809523809524,0.24761904761904763,0.5428571428571428,0.5142857142857142
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_3,4006,0.2,0.26666666666666666,0.20952380952380953,0.3238095238095238,0.5333333333333333,0.4095238095238095
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_4,2878,0.3047619047619048,0.19047619047619047,0.2857142857142857,0.21904761904761905,0.5047619047619047,0.5904761904761905
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_5,5350,0.2761904761904762,0.2,0.21904761904761905,0.3047619047619048,0.5238095238095238,0.49523809523809526
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_6,3185,0.26666666666666666,0.18095238095238095,0.23809523809523808,0.3142857142857143,0.5523809523809524,0.5047619047619047
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_7,4217,0.29523809523809524,0.19047619047619047,0.24761904761904763,0.26666666666666666,0.5142857142857142,0.5428571428571428
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_8,6902,0.24761904761904763,0.2761904761904762,0.2,0.2761904761904762,0.47619047619047616,0.44761904761904764
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_9,4151,0.26666666666666666,0.21904761904761905,0.24761904761904763,0.26666666666666666,0.5142857142857142,0.5142857142857142
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_10,4702,0.2857142857142857,0.24761904761904763,0.20952380952380953,0.2571428571428571,0.4666666666666667,0.49523809523809526
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_11,4663,0.20952380952380953,0.22857142857142856,0.23809523809523808,0.3238095238095238,0.5619047619047619,0.44761904761904764
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_12,4274,0.3047619047619048,0.2571428571428571,0.19047619047619047,0.24761904761904763,0.4380952380952381,0.49523809523809526
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_13,3756,0.22857142857142856,0.21904761904761905,0.2857142857142857,0.26666666666666666,0.5523809523809524,0.5142857142857142
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_14,4214,0.23809523809523808,0.2761904761904762,0.20952380952380953,0.2761904761904762,0.4857142857142857,0.44761904761904764
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_15,3067,0.3047619047619048,0.2571428571428571,0.21904761904761905,0.21904761904761905,0.4380952380952381,0.5238095238095238
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_16,4633,0.20952380952380953,0.2857142857142857,0.23809523809523808,0.26666666666666666,0.5047619047619047,0.44761904761904764
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_17,3014,0.22857142857142856,0.34285714285714286,0.20952380952380953,0.21904761904761905,0.42857142857142855,0.4380952380952381
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_18,5224,0.3142857142857143,0.23809523809523808,0.2,0.24761904761904763,0.44761904761904764,0.5142857142857142
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_19,2427,0.3333333333333333,0.21904761904761905,0.21904761904761905,0.22857142857142856,0.44761904761904764,0.5523809523809524
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_20,5079,0.29523809523809524,0.2761904761904762,0.22857142857142856,0.2,0.42857142857142855,0.5238095238095238
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_21,5139,0.2571428571428571,0.23809523809523808,0.26666666666666666,0.23809523809523808,0.5047619047619047,0.5238095238095238
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_22,2354,0.24761904761904763,0.13333333333333333,0.2761904761904762,0.34285714285714286,0.6190476190476191,0.5238095238095238
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_23,3839,0.3047619047619048,0.21904761904761905,0.21904761904761905,0.2571428571428571,0.47619047619047616,0.5238095238095238
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_24,4350,0.26666666666666666,0.2857142857142857,0.21904761904761905,0.22857142857142856,0.44761904761904764,0.4857142857142857
NovaS05933-RD-YF-Nova-20250311-WYJ-2haoji-190_25,4921,0.3047619047619048,0.24761904761904763,0.23809523809523808,0.20952380952380953,0.44761904761904764,0.5428571428571428
